,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
0,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Pingjiang County Domestic Waste Harmless Landfill Site LFG Utilization Project,Under validation,60882,China
1,"Guizhou Hanwei Egg Industry Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Panzhou County Chicken Farm Manure Composting Project,Under validation,35865,China
2,Energy LED (Pty) Ltd,Energy demand,Small Scale LED Lighting Grouped Project in South Africa,Under validation,7583,South Africa
3,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,"Luoding BCCY New Power CO., Ltd. MSW biogas to electricity generation project",Under validation,44555,China
4,GKF Agroforestry Pvt Ltd,Agriculture Forestry and Other Land Use,"Agroforestry for Enhancing the Smallholders’ Livelihood in Karnataka And Andhra Pradesh, India",Under development,160686,India
5,Cambium Earth SL,Agriculture Forestry and Other Land Use,MIXED AFFORESTATION IN THE PARANA BASIN III,Under development,47151,Argentina
6,Marmota Solutions Incorporated,Energy industries (renewable/non-renewable sources); Transport,Marmota EV Charging Carbon Offset Program (MEVCCOP),Under validation,38875,Canada
7,Chemenergy Biofuels (P) Limited,Chemical industry; Transport,150 TPD BIODIESEL PROJECT BY CHEMENERGY BIOFUELS(P) LIMITED,Under validation,105246,India
8,ACS (Africa Carbon Solutions) Project Management Services L.L.C,Agriculture Forestry and Other Land Use,Djibouti Mangrove Restoration Program,Under development,45694,Djibouti
9,Multiple Proponents,Agriculture Forestry and Other Land Use,CATALYZING COMMUNITY RESILIENCE  THROUGH CARBON FINANCE IN  ETHIOPIAN AFROMONTANE FORESTS,Under development,241990,Ethiopia
10,GHG Biotecnologia Ltda.,Waste handling and disposal,Methane Avoidance in Anaerobic Lagoons Grouped Project,Under development,17235,Brazil
11,"Fujian Province Canhua Enviromental Material Co., Ltd",Waste handling and disposal,Quanzhou Canhua PET Recycling Project,Under validation,57183,China
12,TotalEnergies Nature Based Solutions II,Agriculture Forestry and Other Land Use,BaCaSi,Under development,388968,Congo
13,Working Trees,Agriculture Forestry and Other Land Use,Working Trees- Scaling Brazilian Silvopasture (WT-SBS),Under development,7025437,Brazil
14,"Zhangye Agricultural Development Investment Group Co.,Ltd.",Agriculture Forestry and Other Land Use,Zhangye Improved Grassland Management Project Phase II,Under validation,235710,China
15,Silk Grass Farms. Ltd,Agriculture Forestry and Other Land Use,Silk Grass Farms Forest Conservation Project (REDD+),Under validation,86359,Belize
16,rePLANET,Agriculture Forestry and Other Land Use,"Ganaderos Y Bosques Azuero: Reforestation of Riparian Areas and Rotational Grazing on Cattle Farms in the Azuero Peninsula, Panama",Under development,103516,Panama
17,WeForest Zambia Ltd,Agriculture Forestry and Other Land Use,Lavushimanda Community Conservation Project,Under development,63163,Zambia
18,Comercio y Desarrollo SA,Agriculture Forestry and Other Land Use,Sustainable Silvopastoral Producers of the Argentine Pampas,Under validation,5203,Argentina
19,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,Project Akwaaba | Forest Ecosystem Restoration in Ghana,Under validation,4965,Ghana
20,Suzhou Haiweidun Car Rental Co. LTD,Transport,Haiweidun electric vehicle in passenger transportation project,Under validation,43238,China
21,Terraformation Inc.,Agriculture Forestry and Other Land Use,Sembrando Futuro 2.0,Under development,7813,Colombia
22,Arbonics OU,Agriculture Forestry and Other Land Use,Arbonics Afforestation Project Two,Under development,364,Latvia
23,Canopy Energies,Agriculture Forestry and Other Land Use,Fagnako: Agroforestry project in Madagascar,Under development,45337,Madagascar
24,REFLORA INITIATIVE BRASIL GESTAO AMBIENTAL LTDA,Agriculture Forestry and Other Land Use,Grouped Project ARR Serra Viva,Under development,61982,Brazil
