Project Developer,Projects_Developed
CO2balance UK ltd,2616
Chengdu Oasis Science & Technology Co Ltd,948
Multiple Proponents,595
Bangladesh Bondhu Foundation,427
Likano Project Development GmbH,426
South Pole Carbon Asset Management Ltd.,327
atmosfair gGmbH,292
EKI Energy Services Limited,254
Impact Carbon,234
UpEnergy Group,223
Envirofit International Ltd.,208
myclimate Foundation,203
Swiss Carbon Value Ltd.,197
Cagla Balci Eris,192
CO2 Environnement GSF,182
Value Network Venture Advisory Services Pte. Ltd.,170
Deactivated Projects,169
ForestFinance GSF,155
Wind World (India) Limited,150
Climate Bridge (Shanghai) Ltd.,147
Carbonsink (Carbonsink Group S.r.l.),127
Orange Renewable Power Pvt Ltd,124
Hestian Innovation,122
Alternative Energy Promotion Centre,122
Tiipaalga,106
